"School of Oriental and African Studies, University of London","{'address': 'School of Oriental and African Studies', 'location': {'x': -0.1289687, 'y': 51.5220945}, 'score': 99.99, 'attributes': {}, 'extent': {'xmin': -0.1339687, 'ymin': 51.5170945, 'xmax': -0.1239687, 'ymax': 51.5270945}}"
Berwick-upon-Tweed,"{'address': 'Berwick-upon-Tweed, Northumberland, England', 'location': {'x': -2.004192377, 'y': 55.771206129}, 'score': 100, 'attributes': {}, 'extent': {'xmin': -2.030192377, 'ymin': 55.745206129, 'xmax': -1.978192377, 'ymax': 55.797206129}}"
"Phoenix, Arizona","{'address': 'Phoenix, Arizona', 'location': {'x': -112.0725848, 'y': 33.448204}, 'score': 100, 'attributes': {}, 'extent': {'xmin': -112.4515848, 'ymin': 33.069204, 'xmax': -111.6935848, 'ymax': 33.827204}}"
"Catholic University, Eichstätt, West Germany","{'address': 'Catholic University Of Eichstätt-Ingolstadt', 'location': {'x': 11.1846535, 'y': 48.8911492}, 'score': 89.64, 'attributes': {}, 'extent': {'xmin': 11.1796535, 'ymin': 48.8861492, 'xmax': 11.1896535, 'ymax': 48.8961492}}"
"Department of French, University of Leeds","{'address': 'University, Leeds, West Yorkshire, England', 'location': {'x': -1.5502918, 'y': 53.8147743}, 'score': 73.54, 'attributes': {}, 'extent': {'xmin': -1.5662918, 'ymin': 53.7987743, 'xmax': -1.5342918, 'ymax': 53.8307743}}"
Leiden,"{'address': 'Leiden', 'location': {'x': 4.487564706, 'y': 52.158157153}, 'score': 100, 'attributes': {}, 'extent': {'xmin': 4.449564706, 'ymin': 52.120157153, 'xmax': 4.525564706, 'ymax': 52.196157153}}"
"Claverham, Bristol","{'address': 'Claverham, Yatton, Bristol, Avon, England', 'location': {'x': -2.79658, 'y': 51.391314}, 'score': 100, 'attributes': {}, 'extent': {'xmin': -2.81258, 'ymin': 51.375314, 'xmax': -2.78058, 'ymax': 51.407314}}"
"Queens Park, New South Wales","{'address': 'Queens Park, Waverley, New South Wales', 'location': {'x': 151.24877436, 'y': -33.897688046}, 'score': 100, 'attributes': {}, 'extent': {'xmin': 151.24277436, 'ymin': -33.903688046, 'xmax': 151.25477436, 'ymax': -33.891688046}}"
"Editor, Poetry Review, London N2","{'address': 'N2 8, London, England', 'location': {'x': -0.1714984, 'y': 51.593925}, 'score': 74.94, 'attributes': {}, 'extent': {'xmin': -0.1794984, 'ymin': 51.585925, 'xmax': -0.1634984, 'ymax': 51.601925}}"
"Sandwick, Orkney","{'address': 'Sandwick, Orkney, Scotland', 'location': {'x': -2.9589048, 'y': 58.7849659}, 'score': 100, 'attributes': {}, 'extent': {'xmin': -2.9619048, 'ymin': 58.7819659, 'xmax': -2.9559048, 'ymax': 58.7879659}}"
